KEY	ZipCode	City	District	Street	HouseNr	X_Coordinate	Y_Coordinate	Flag_Coordinates	Version	House_ID	Image	Random
1461200000005570	1099	Dresden	Äußere Neustadt	Prießnitzstr.	46	13,7604628	51,0668496	1	20170201	100004820	http://maps.google.com/maps/api/staticmap?center=51.0668496,13.7604628&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0668496,13.7604628	20
1461200000005580	1099	Dresden	Äußere Neustadt	Prießnitzstr.	59	13,7615116	51,0690246	1	20170201	100004834	http://maps.google.com/maps/api/staticmap?center=51.0690246,13.7615116&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0690246,13.7615116	70
1461200000005840	1099	Dresden	Äußere Neustadt	Sebnitzer Str.	47	13,758965	51,0679371	1	20170201	100005061	http://maps.google.com/maps/api/staticmap?center=51.0679371,13.758965&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0679371,13.758965	93
1461200000006120	1099	Dresden	Radeberger Vorstadt	Wilhelminenstr.	7	13,7884298	51,0675394	1	20170201	100005259	http://maps.google.com/maps/api/staticmap?center=51.0675394,13.7884298&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.0675394,13.7884298	92
1461200000006410	1108	Dresden	Weixdorf	An den Birken	36	13,7904496	51,1334987	1	20170201	100005468	http://maps.google.com/maps/api/staticmap?center=51.1334987,13.7904496&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1334987,13.7904496	75
1461200000006510	1108	Dresden	Weixdorf	An den Teichen	67	13,8077322	51,1450915	1	20170201	100005563	http://maps.google.com/maps/api/staticmap?center=51.1450915,13.8077322&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1450915,13.8077322	64
1461200000006540	1108	Dresden	Weixdorf	An der Heide	7	13,7991196	51,1359327	1	20170201	100005587	http://maps.google.com/maps/api/staticmap?center=51.1359327,13.7991196&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1359327,13.7991196	54
1461200000006620	1108	Dresden	Weixdorf	Bergsiedlung	31A	13,8171601	51,1480965	1	20170201	100005658	http://maps.google.com/maps/api/staticmap?center=51.1480965,13.8171601&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1480965,13.8171601	84
1461200000007030	1108	Dresden	Weixdorf	Privatstr.	27A	13,7987166	51,1451068	1	20170201	100006037	http://maps.google.com/maps/api/staticmap?center=51.1451068,13.7987166&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1451068,13.7987166	25
1461200000007060	1108	Dresden	Weixdorf	Rathenaustr.	15	13,8030167	51,1434492	1	20170201	100006067	http://maps.google.com/maps/api/staticmap?center=51.1434492,13.8030167&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1434492,13.8030167	34
1461200000007080	1108	Dresden	Weixdorf	Rotkehlchenweg	18	13,7958837	51,1449441	1	20170201	100006091	http://maps.google.com/maps/api/staticmap?center=51.1449441,13.7958837&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1449441,13.7958837	79
1461200000007440	1108	Dresden	Weixdorf	Kügelgenweg	40	13,8066758	51,1556938	1	20170201	100006405	http://maps.google.com/maps/api/staticmap?center=51.1556938,13.8066758&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1556938,13.8066758	4
1461200000007450	1108	Dresden	Weixdorf	Lehngutstr.	10	13,7961288	51,1423508	1	20170201	100006415	http://maps.google.com/maps/api/staticmap?center=51.1423508,13.7961288&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1423508,13.7961288	88
1461200000007620	1108	Dresden	Weixdorf	Seifzerteichstr.	3	13,7872451	51,1318629	1	20170201	100006556	http://maps.google.com/maps/api/staticmap?center=51.1318629,13.7872451&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1318629,13.7872451	49
1461200000007650	1108	Dresden	Weixdorf	Radeburger Landstr.	16	13,7950151	51,1517549	2	20170201	100006581	http://maps.google.com/maps/api/staticmap?center=51.1517549,13.7950151&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1517549,13.7950151	72
1461200000007890	1108	Dresden	Weixdorf	Altfriedersdorf	24	13,809804	51,1450828	1	20170201	100006807	http://maps.google.com/maps/api/staticmap?center=51.1450828,13.809804&zoom=16&size=100x100&maptype=satellite&sensor=false&language=&markers:none|label:none|51.1450828,13.809804	73
